,city_name,Latitude,Longitude,Wind Speed,Humidity,Temperature,Cloudiness,Country Name,Date
314,nizhnevartovsk,60.93,76.55,6.82,92,3.76,0,RU,1603935433
315,shitanjing,39.23,106.34,5.61,49,45.09,0,CN,1603935434
316,ribeira grande,38.52,-28.7,21.74,88,67.98,68,PT,1603935434
317,cherskiy,68.75,161.3,3.89,94,5.83,90,RU,1603935434
318,kahului,20.89,-156.47,10.0,70,81.0,16,US,1603935320
319,cayenne,4.93,-52.33,9.75,85,80.33,54,GF,1603935434
320,pangody,65.85,74.49,9.55,88,0.55,11,RU,1603935434
321,oistins,13.07,-59.53,25.66,82,80.67,100,BB,1603935249
322,lichinga,-13.31,35.24,10.29,68,64.4,20,MZ,1603935434
323,jaffna,9.67,80.01,10.6,73,81.45,63,LK,1603935435
324,flin flon,54.77,-101.86,2.59,87,17.87,94,CA,1603935435
325,buin,-33.73,-70.75,6.98,61,52.16,0,CL,1603935435
326,nome,64.5,-165.41,3.0,77,30.99,85,US,1603935435
327,dingle,11.0,122.67,7.94,77,85.06,16,PH,1603935435
328,rio grande,-32.03,-52.1,18.19,97,64.99,94,BR,1603935206
329,cochrane,51.18,-114.47,1.99,89,34.0,100,CA,1603935435
330,lata,40.16,-8.33,2.21,94,55.99,0,PT,1603935435
331,vila velha,-20.33,-40.29,13.0,88,82.0,77,BR,1603935436
332,finschhafen,-6.6,147.87,9.35,66,85.6,62,PG,1603935436
333,chandigarh,30.73,76.79,2.28,42,63.64,0,IN,1603935436
334,norman wells,65.28,-126.83,2.95,96,16.83,86,CA,1603935436
335,klaksvik,62.23,-6.59,16.31,84,48.29,71,FO,1603935436
336,ixtapa,20.7,-105.2,1.54,85,76.01,40,MX,1603935184
337,zdvinsk,54.7,78.66,8.19,94,22.68,0,RU,1603935436
338,trincomalee,8.57,81.23,9.13,77,79.74,86,LK,1603935436
339,port blair,11.67,92.75,4.0,74,82.4,30,IN,1603935437
340,luderitz,-26.65,15.16,14.47,63,60.39,100,,1603935437
341,praia da vitoria,38.73,-27.07,5.01,90,66.99,82,PT,1603935437
342,pangkalanbuun,-2.68,111.62,3.98,59,88.86,8,ID,1603935437
343,khash,28.22,61.22,2.86,67,40.3,0,IR,1603935437
344,las margaritas,16.32,-91.98,1.41,93,62.46,99,MX,1603935437
345,saint anthony,45.02,-93.22,8.05,65,44.6,90,US,1603935437
346,beneditinos,-5.45,-42.37,4.85,75,79.45,100,BR,1603935437
347,ust-barguzin,53.45,108.98,3.18,86,33.46,100,RU,1603935438
348,pangai,-19.8,-174.35,20.74,73,74.3,0,TO,1603935438
349,estrela,-28.06,-50.94,0.38,80,52.56,0,BR,1603935438
350,hay river,60.82,-115.8,5.44,96,18.9,19,CA,1603935438
351,pacifica,37.61,-122.49,8.05,87,63.0,1,US,1603935438
352,foz,43.57,-7.25,1.01,86,55.0,56,ES,1603935438
353,kayerkan,69.35,87.76,8.08,76,3.04,0,RU,1603935438
354,yaan,7.38,8.57,4.83,87,74.19,100,NG,1603935439
355,santa cruz de yojoa,14.98,-87.9,3.6,89,82.0,100,HN,1603935439
356,tarko-sale,64.92,77.78,4.5,89,-4.04,0,RU,1603935439
357,amethi,26.15,81.82,1.86,41,71.44,0,IN,1603935439
358,tazovskiy,67.47,78.7,7.18,87,-3.71,0,RU,1603935439
359,booue,-0.09,11.94,0.47,96,69.53,92,GA,1603935439
360,vanimo,-2.67,141.3,5.01,60,88.88,98,PG,1603935439
361,foumban,5.73,10.9,1.52,93,63.43,100,CM,1603935440
362,avera,33.19,-82.53,6.93,94,75.0,1,US,1603935440
363,suluq,31.67,20.25,6.51,70,65.64,3,LY,1603935440
364,college,64.86,-147.8,1.74,88,19.99,0,US,1603935440
365,fujin,47.26,132.03,14.79,72,38.91,1,CN,1603935440
366,udachnyy,66.42,112.4,0.58,89,-9.54,0,RU,1603935400
367,samana,19.21,-69.34,8.41,85,77.32,9,DO,1603935440
368,ulaanbaatar,47.91,106.88,4.27,68,34.92,0,MN,1603935404
